id;nombre;edad;genero;ciudad;comentario;categoria_del_problema;nivel_de_urgencia;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural
1;jorge;23;otro;manizales;las calles estan muy oscuras y peligrosas;salud;urgente;2023 08 11;0;1;0
2;camilo;40;otro;santa marta;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 04 12;1;1;1
3;pedro;35;otro;medellin;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 06 09;1;1;0
4;ana;;f;bogota;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 06 04;0;1;1
5;jorge;62;m;manizales;no hay suficientes escuelas publicas;seguridad;urgente;2024 07 10;1;0;1
6;maria;29;m;cartagena;hay problemas con la recoleccion de basura;seguridad;no urgente;2023 09 18;0;1;0
7;ana;;m;medellin;la contaminacion del rio esta aumentando;salud;no urgente;2023 07 20;0;1;0
8;jorge;38;f;bogota;no hay suficientes escuelas publicas;educacion;urgente;2023 04 23;0;1;0
9;carlos;57;m;medellin;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2023 09 01;1;1;1
10;maria;76;f;cali;faltan medicos en el centro de salud;salud;no urgente;2024 09 21;0;1;1
11;pedro;46;otro;bogota;falta agua potable en varias casas;educacion;urgente;2024 04 02;0;1;0
12;ana;67;m;manizales;la contaminacion del rio esta aumentando;seguridad;urgente;2023 03 14;1;1;1
13;laura;46;otro;medellin;falta agua potable en varias casas;salud;urgente;2023 11 08;1;0;0
14;sofia;72;f;bogota;no hay suficientes escuelas publicas;educacion;no urgente;2023 08 19;1;0;0
15;laura;67;f;manizales;falta agua potable en varias casas;educacion;urgente;2024 08 16;1;1;1
16;camilo;77;otro;manizales;faltan medicos en el centro de salud;salud;urgente;2023 09 01;0;1;1
17;valentina;22;f;santa marta;necesitamos mas acceso a internet en la zona;salud;no urgente;2024 03 15;1;1;1
18;juan;71;otro;barranquilla;la contaminacion del rio esta aumentando;salud;no urgente;2023 12 21;0;1;0
19;sofia;;f;manizales;nan;educacion;urgente;2023 11 02;1;0;1
20;juan;52;m;medellin;queremos mas presencia policial;salud;urgente;2024 06 18;0;0;1
21;jorge;59;m;cali;faltan medicos en el centro de salud;salud;urgente;2024 07 21;0;0;1
22;laura;65;m;barranquilla;queremos mas presencia policial;medio ambiente;urgente;2024 04 13;0;1;0
23;jorge;51;otro;pereira;falta agua potable en varias casas;medio ambiente;urgente;2024 09 20;0;1;0
24;laura;64;f;barranquilla;las basuras no se recogen a tiempo;seguridad;no urgente;2024 05 20;0;1;0
25;carlos;28;f;manizales;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 04 22;1;1;1
26;sofia;69;f;cucuta;necesitamos mas acceso a internet en la zona;seguridad;urgente;2024 01 11;0;1;1
27;ana;24;f;bucaramanga;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 04 11;0;1;0
28;sofia;63;otro;pereira;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 08 03;0;1;1
29;carlos;46;f;cali;hay problemas con la recoleccion de basura;educacion;urgente;2024 06 29;1;1;1
30;pedro;34;f;cucuta;falta agua potable en varias casas;seguridad;urgente;2023 10 17;0;0;0
31;ana;47;m;medellin;queremos mas presencia policial;salud;urgente;2024 11 24;1;0;1
32;maria;80;m;barranquilla;falta agua potable en varias casas;medio ambiente;urgente;2023 02 06;0;1;1
33;pedro;77;otro;santa marta;no hay suficientes escuelas publicas;medio ambiente;urgente;2024 11 23;1;1;1
34;maria;78;m;barranquilla;las basuras no se recogen a tiempo;seguridad;urgente;2024 09 06;1;0;1
35;pedro;54;f;santa marta;necesitamos mas acceso a internet en la zona;seguridad;urgente;2023 03 04;1;0;1
36;pedro;53;otro;bogota;las basuras no se recogen a tiempo;educacion;no urgente;2023 09 12;1;1;0
37;carlos;18;m;manizales;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 09 23;0;0;0
38;juan;61;otro;barranquilla;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 05 04;0;0;1
39;sofia;33;f;santa marta;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 10 20;0;1;0
40;valentina;18;m;manizales;falta agua potable en varias casas;educacion;no urgente;2023 08 10;0;0;0
41;valentina;;f;santa marta;queremos mas presencia policial;medio ambiente;urgente;2024 06 16;0;1;1
42;ana;19;otro;cucuta;las calles estan muy oscuras y peligrosas;salud;no urgente;2024 08 26;0;0;1
43;maria;50;otro;cali;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 09 13;1;0;0
44;laura;60;nan;medellin;las basuras no se recogen a tiempo;educacion;no urgente;2023 03 22;0;0;1
45;carlos;29;f;pereira;queremos mas presencia policial;educacion;no urgente;2023 10 31;0;0;0
46;jorge;59;otro;bucaramanga;hay problemas con la recoleccion de basura;educacion;no urgente;2023 07 28;1;0;0
47;camilo;19;m;bogota;queremos mas presencia policial;medio ambiente;no urgente;2023 08 27;0;0;0
48;pedro;48;otro;manizales;faltan medicos en el centro de salud;salud;no urgente;2024 07 13;1;1;1
49;laura;32;m;cucuta;las basuras no se recogen a tiempo;salud;urgente;2024 04 26;0;0;0
50;juan;48;otro;medellin;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2024 08 02;1;1;1
51;ana;66;m;bogota;las calles estan muy oscuras y peligrosas;salud;no urgente;2023 02 22;1;1;1
52;jorge;24;otro;cartagena;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2023 02 09;0;1;1
53;pedro;53;m;cartagena;la contaminacion del rio esta aumentando;seguridad;urgente;2024 10 07;1;1;0
54;maria;59;otro;cartagena;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 04 22;0;1;0
55;sofia;42;f;bogota;necesitamos mas acceso a internet en la zona;salud;urgente;2024 08 12;1;0;0
56;camilo;58;m;cucuta;queremos mas presencia policial;medio ambiente;urgente;2024 06 12;1;1;0
57;jorge;53;f;pereira;necesitamos mas acceso a internet en la zona;salud;urgente;2023 12 03;1;1;0
58;valentina;31;m;bucaramanga;no hay suficientes escuelas publicas;seguridad;urgente;2023 10 24;1;1;0
59;valentina;24;f;bogota;faltan medicos en el centro de salud;seguridad;no urgente;2024 11 13;1;1;0
60;sofia;31;otro;cucuta;queremos mas presencia policial;medio ambiente;urgente;2023 04 22;1;1;1
61;pedro;42;otro;medellin;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 10 24;0;1;0
62;valentina;23;m;cartagena;las basuras no se recogen a tiempo;salud;no urgente;2024 08 28;1;0;0
63;laura;23;nan;pereira;queremos mas presencia policial;seguridad;urgente;2023 05 23;1;0;1
64;jorge;70;m;santa marta;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2023 04 22;0;1;0
65;ana;30;m;bogota;queremos mas presencia policial;seguridad;no urgente;2024 11 15;0;0;1
66;sofia;38;otro;manizales;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 06 19;1;1;0
67;sofia;69;m;manizales;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2024 04 03;0;0;1
68;valentina;;m;medellin;no hay suficientes escuelas publicas;educacion;urgente;2023 07 26;1;1;0
69;camilo;27;f;cali;las basuras no se recogen a tiempo;seguridad;urgente;2023 01 03;0;0;1
70;maria;66;m;manizales;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 02 22;1;0;1
71;jorge;22;otro;barranquilla;nan;salud;urgente;2024 02 15;1;1;0
72;sofia;19;f;pereira;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2024 09 23;0;0;0
73;sofia;32;otro;cali;la contaminacion del rio esta aumentando;salud;urgente;2024 10 07;0;0;1
74;juan;38;f;cartagena;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2024 11 25;1;1;1
75;valentina;28;f;cartagena;hay problemas con la recoleccion de basura;educacion;no urgente;2024 04 14;1;1;1
76;valentina;24;otro;cucuta;la contaminacion del rio esta aumentando;seguridad;urgente;2024 05 23;1;1;0
77;valentina;22;nan;bogota;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 01 25;0;1;1
78;sofia;;m;manizales;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 11 05;0;0;0
79;laura;30;f;cali;necesitamos mas acceso a internet en la zona;educacion;urgente;2023 03 15;1;0;1
80;valentina;25;otro;santa marta;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 07 12;1;0;1
81;juan;21;m;bogota;nan;medio ambiente;urgente;2024 08 17;0;1;1
82;juan;19;f;cali;la contaminacion del rio esta aumentando;seguridad;urgente;2023 05 29;0;0;0
83;camilo;58;otro;manizales;la contaminacion del rio esta aumentando;medio ambiente;urgente;2023 10 09;1;0;1
84;laura;76;f;santa marta;la contaminacion del rio esta aumentando;salud;urgente;2024 09 03;1;1;0
85;camilo;16;otro;cali;faltan medicos en el centro de salud;salud;no urgente;2024 05 05;1;1;0
86;juan;38;m;bogota;necesitamos mas acceso a internet en la zona;educacion;no urgente;2024 04 21;0;1;1
87;sofia;75;m;barranquilla;nan;salud;no urgente;2023 07 28;0;1;1
88;pedro;58;otro;cucuta;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2023 06 04;1;0;1
89;camilo;61;m;cucuta;las basuras no se recogen a tiempo;seguridad;urgente;2024 07 27;0;0;0
90;laura;60;f;cali;faltan medicos en el centro de salud;medio ambiente;no urgente;2023 10 24;0;1;1
91;jorge;66;f;manizales;no hay suficientes escuelas publicas;seguridad;urgente;2023 10 30;0;1;1
92;juan;;m;bogota;faltan medicos en el centro de salud;seguridad;urgente;2023 07 12;0;0;1
93;sofia;25;m;medellin;faltan medicos en el centro de salud;seguridad;no urgente;2024 02 25;0;1;0
94;carlos;;f;medellin;queremos mas presencia policial;seguridad;no urgente;2024 11 09;1;1;1
95;jorge;20;otro;cali;la contaminacion del rio esta aumentando;educacion;no urgente;2023 07 24;0;1;0
96;juan;31;m;cartagena;queremos mas presencia policial;seguridad;urgente;2024 07 10;1;0;0
97;valentina;72;f;medellin;falta agua potable en varias casas;medio ambiente;urgente;2023 08 25;1;0;0
98;carlos;66;otro;manizales;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 01 23;0;1;0
99;jorge;67;otro;medellin;faltan medicos en el centro de salud;salud;no urgente;2024 01 17;1;0;1
100;sofia;;f;cartagena;queremos mas presencia policial;salud;urgente;2024 08 17;0;0;1
101;valentina;36;otro;cartagena;faltan medicos en el centro de salud;seguridad;urgente;2024 09 25;0;0;0
102;maria;51;m;barranquilla;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2024 03 03;1;0;1
103;jorge;27;f;manizales;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 05 23;0;1;0
104;jorge;44;otro;cucuta;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2023 02 23;1;0;0
105;sofia;50;f;cucuta;la contaminacion del rio esta aumentando;educacion;no urgente;2024 03 16;1;0;0
106;ana;19;f;medellin;faltan medicos en el centro de salud;salud;urgente;2023 09 07;1;1;1
107;carlos;;f;pereira;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 03 17;1;0;1
108;jorge;54;f;medellin;faltan medicos en el centro de salud;educacion;no urgente;2024 07 16;1;1;0
